"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2015","750.99","748.80","751.02","740.11","584.04M","0.16%"
"09/21/2015","758.61","748.80","760.28","745.25","553.37M","1.01%"
"09/22/2015","749.94","760.47","761.90","745.93","425.92M","-1.14%"
"09/23/2015","746.10","748.33","750.70","746.10","158.06M","-0.51%"
"09/28/2015","733.15","747.59","751.28","733.15","433.50M","-1.74%"
"09/29/2015","742.58","728.66","743.27","726.38","588.00M","1.29%"
"09/30/2015","742.05","746.50","747.53","737.83","583.92M","-0.07%"
"10/01/2015","745.31","746.23","748.36","740.21","537.82M","0.44%"
"10/02/2015","743.97","745.71","746.91","738.26","528.89M","-0.18%"
"10/05/2015","769.03","753.13","769.03","753.13","725.11M","3.37%"
"10/06/2015","772.59","769.77","776.07","766.25","685.16M","0.46%"
"10/07/2015","786.98","778.22","787.27","776.33","938.57M","1.86%"
"10/08/2015","786.61","783.09","792.46","780.13","732.87M","-0.05%"
"10/09/2015","792.15","792.37","796.16","788.42","728.40M","0.70%"
"10/12/2015","793.00","785.47","796.20","785.47","628.43M","0.11%"
"10/13/2015","783.59","793.43","794.95","778.89","647.50M","-1.19%"
"10/14/2015","793.80","783.89","795.03","783.18","670.29M","1.30%"
"10/15/2015","792.63","800.13","803.83","792.63","718.55M","-0.15%"
"10/16/2015","784.84","796.15","796.15","784.84","553.96M","-0.98%"
"10/19/2015","797.35","788.46","798.95","788.46","593.06M","1.59%"
"10/20/2015","804.96","798.10","805.94","796.78","733.44M","0.95%"
"10/21/2015","797.65","803.96","804.24","792.84","757.88M","-0.91%"
"10/22/2015","802.56","798.43","805.32","798.43","690.17M","0.62%"
"10/23/2015","801.25","808.92","810.67","800.91","749.33M","-0.16%"
"10/26/2015","792.62","801.72","804.03","792.20","598.52M","-1.08%"
"10/27/2015","786.63","792.06","793.84","780.95","543.97M","-0.76%"
"10/28/2015","785.36","786.34","786.51","780.00","250.26M","-0.16%"
"10/30/2015","794.09","782.30","795.05","775.85","593.89M","1.11%"
"11/02/2015","836.94","836.54","843.54","832.29","1.26B","5.40%"
"11/03/2015","829.14","838.57","839.27","828.53","826.56M","-0.93%"
"11/04/2015","836.84","832.85","837.85","832.85","730.03M","0.93%"
"11/05/2015","829.56","832.35","833.29","825.47","662.89M","-0.87%"
"11/06/2015","819.30","832.01","832.32","817.18","581.25M","-1.24%"
"11/09/2015","820.50","820.00","826.22","817.57","602.45M","0.15%"
"11/10/2015","811.74","823.11","825.92","811.74","570.72M","-1.07%"
"11/11/2015","817.18","814.85","823.65","814.85","541.92M","0.67%"
